issn_impreso,issn_linea,nombre_revista,anio_vigencia,categoria
0124-5376,2539-200X,Biota Colombiana,2021.0,B
,2145-308X,Panorama,2021,C
2027-5137,2322-777X,Historia Y Memoria,2021,B
0120-0739,2256-201X,Colombia Forestal,2021,B
0122-9761,,Boletín De Investigaciones Marinas Y Costeras,2012,A2
0034-7418,,Revista Colombiana De Ciencias Químico Farmacéuticas,2005,C
0121-8123,,Revista Colombiana De Reumatología,2008,A2
0120-4688,,Praxis Filosófica,2005,C
0123-3432,,Íkala,2013,A2
,,Colombia Médica,2008,A1
0120-5307,,Investigación Y Educación En Enfermería,2008,A2
0122-9354,,Revista De Medicina Veterinaria,2007,C
0120-8748,,Acta Neurológica Colombiana,2008,C
0120-386X,,Revista Facultad Nacional De Salud Publica,2004,C
0124-4108,,Perspectivas En Nutrición Humana,2008,B
0123-4676,,Fronteras De La Historia,2008,B
0124-7492,,Ingenium,2007,C
0121-4381,,Suma Psicológica,2005,C
0072-0992,,Geología Colombiana,2004,C
0123-417X,,Psicología Desde El Caribe,2008,C
0123-1154,,Revista Ibero- Latinoamericana De Seguros,2010,B
0120-5323,,Universitas Philosophica,2013,A2
0124-5996,,Revista De Economía Institucional,2006,A2
0120-0135,,Revista De Ciencias Agricolas,2012,C
0120-0062,,Ideas Y Valores,2006,B
0121-750X,,Ingeniería,2004,C
0120-5609,,Ingeniería E Investigación,2012,A1
0121-8697,,Revista De Derecho,2008,B
0120-9957,,Revista Colombiana De Gastroenterología,2007,A2
1794-1237,,Revista Eia,2009,B
0034-7450,,Revista Colombiana De Psiquiatría,2006,B
0120-0283,,Boletín De Geología,2016,A2
0122-8285,,Palabra Clave,2008,C
1692-8156,,International Law : Revista Colombiana De Derecho Internacional,2007,B
0124-2067,,Principia Iuris,2017,C
0120-4165,,Controversia,2005,C
1657-2831,,Revista Colombiana De Computación,2004,C
0120-3630,,Boletín De Ciencias De La Tierra,2016,A2
1692-7273,,Revista Ciencias De La Salud,2012,A2
0120-4823,,Signo Y Pensamiento,2008,B
0121-2923,,Palmas,2006,C
0123-9155,,Acta Colombiana De Psicología,2009,A1
0123-921X,,Tecnura,2014,A2
1692-5106,,Revista Ustasalud Odontología,2010,C
0123-3475,,Revista Colombiana De Biotecnología,2006,C
0562-5351,,Suelos Ecuatoriales,2007,C
1657-463X,,Cultura Científica,2012,C
0122-8102,,Cuadernos De Literatura,2008,C
0123-7799,,Tecno Lógicas,2011,B
1692-3375,,Umbral Científico,2008,C
0123-9155,,Acta Colombiana De Psicología,2005,B
1900-8260,,Revista De Educación En Ingeniería,2010,C
0121-5612,,Colombia Internacional,2012,A2
0121-1617,,Historia Crítica,2011,A1
0120-0976,,Revista Interamericana De Bibliotecología,2012,A2
1657-0111,,Palobra Palabra Que Obra,2012,C
0121-4993,,Revista De Ingeniería,2013,A2
0123-4072,,Lumina,2010,C
2011-0731,,Academia Y Virtualidad,2014,C
0123-3769,,Perspectiva Geográfica,2012,C
0121-7488,,Ciencia En Desarrollo,2012,B
0120-338X,,Forma Y Función,2010,A2
2011-3188,,Dearquitectura,2009,C
0120-7180,,Cooperativismo & Desarrollo,2009,C
1794-6298,,Vox Populi- Revista De La Escuela De Finanzas Y Estudios Internacionales De La Fundación Universitaria San Martín (Sede Bogotá),2012,C
1657-2513,,Revista Areté,2011,C
2011-3757,,Calle14,2010,C
1657-9763,,Apuntes,2009,C
0124-406X,,Rastros Rostros,2010,C
0123-9465,,Ambiente Jurídico,2011,C
2011-0413,,Revista Investigaciones Aplicadas,2012,C
0120-8454,,Análisis,2012,C
1900-3080,,Revista Nacional De Odontología,2010,C
1794-7928,,Spei Domus,2010,C
,,Affectio Societatis,2013,C
0124-0021,,Diálogos De Saberes,2010,C
0121-7607,,Ambiente Y Desarrollo,2012,C
,,Eidos,2012,A2
2011-2173,,Revista Colombiana De Ciencias Hortícolas,2012,B
,,Ciencia Y Salud Virtual,2011,C
0124-0102,,Advocatus,2011,B
2027-5137,,Historia Y Memoria,2014,A2
1900-6586,,"Revista Científica ""General José María Córdova""",2014,B
1794-7154,,"Saber, Ciencia Y Libertad",2012,C
2027-923X,,Elementos,2014,C
0122-6339,,Enunciación,2011,C
,,Ingenierias Usbmed,2013,C
1657-6357,,Sociedad Y Economía,2015,A2
2027-1034,,Bio-Grafia,2013,C
1909-4841,,Tumbaga,2012,C
0123-3432,,Íkala,2016,A2
0121-5167,,Estudios Políticos,2018,B
0124-5996,,Revista De Economía Institucional,2018,B
1794-9165,,Ingeniería Y Ciencia,2018,B
0120-548X,,Acta Biológica Colombiana,2018,B
0121-7550,,Nomadas,2018,B
2011-7531,,Salud Uninorte,2018,C
1657-6357,2389-9050,Sociedad Y Economía,2022,C
0120-3053,2256-5779,Apuntes Del Cenes,2022,C
0120-4823,,Signo Y Pensamiento,2019,B
1657-7027,,Revista Gerencia Y Políticas De Salud,2020,C
0122-8102,,Cuadernos De Literatura,2017,C
0124-4035,,Desafíos,2021,C
0122-8803,,Historia Caribe,2015,A2
0121-3628,2256-358X,Estudios De Filosofía,2022,C
1657-4923,2389-7872,Jangwa Pana,2021,C
2011-4532,,Eleuthera,2017,C
0370-3908,,"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",2018,B
0120-1867,,Estudios De Derecho,2016,B
1909-9746,,Visión Electrónica: Algo Más Que Un Estado Sólido,2015,C
0123-5923,2665-6744,Estudios Gerenciales,2022,C
0123-580X,,Punto De Vista,2016,C
0121-2923,,Palmas,2009,C
1909-0528,1909-0528,Via Inveniendi Et Iudicandi Revista Virtual,2022,C
0122-9761,2590-4671,Boletín De Investigaciones Marinas Y Costeras,2022,C
2215-7190,,Revista Análisis Internacional (Rai),2016,C
1794-9831,,Ciencia Y Cuidado,2018,B
2248-6046,,Finanzas Y Política Económica,2020,B
0124-7107,2389-7066,Universidad Y Salud,2021,B
,2145-5147,Desarrollo Gerencial,2021,B
1856-9536,,"Anuario Electrónico De Estudios En Comunicación Social ""Disertarciones""",2022,C
2145-6097,2145-6453,Revista De Investigacion Agraria Ambiental,2021,B
1900-9771,,Revista Gestión Y Región,2016,C
1909-4841,,Tumbaga,2015,C
0124-4620,,Revista Colombiana De Filosofía De La Ciencia,2016,B
2145-9444,2145-9444,Zona Proxima,2022,B
0124-0579,,Estudios Socio-Jurídicos,2015,A2
0120-8454,,Análisis,2016,C
1692-7389,,Ingenierias & Amazonia,2015,C
1794-631X,,Revista De Investigaciones,2007,C
2145-6445,,Revista Latinoamericana De Estudios De Familia,2014,B
1794-3159,,Poliantea,2016,C
1900-1592,,Conservacion Colombiana,2021,C
0122-5383,,"Ct&F Ciencia, Tecnología Y Futuro",2016,A1
0120-5633,2357-3260,Revista Colombiana De Cardiología,2022,C
1692-8156,,International Law : Revista Colombiana De Derecho Internacional,2014,A2
0123-9155,,Acta Colombiana De Psicología,2016,A1
0120-3932,,Economicas Cuc,2017,C
0366-5232,,Caldasia,2019,B
0121-0793,,Iatreia,2019,C
2216-1201,,Revista Colombiana De Ciencias Sociales,2020,B
1692-5858,,Encuentros,2015,B
0121-8697,,Revista De Derecho,2013,A2
2215-8987,,Arka Revista De Arquitectura,2016,C
1657-3412,,Cuadernos Hispanoamericanos De Psicología,2011,C
0121-4993,,Revista De Ingeniería,2015,A2
0123-2304,,Temas Y Reflexiones,2009,C
2215-9444,,Arquetipo,2016,C
1900-3803,,Entramado,2015,B
0124-7107,,Universidad Y Salud,2020,C
0121-182X,,Prolegomenos : Derechos Y Valores,2016,B
2344-8652,,Investigación e Innovación en Ingenierías,2020,B
2011-2173,,Revista Colombiana De Ciencias Hortícolas,2014,A2
1909-2474,1909-2474,Revista Luna Azul,2022,C
1794-7111,,Kepes,2017,A2
2215-7360,,Aglala,2020,B
1692-7389,,Ingenierias & Amazonia,2016,C
0120-0011,,Revista De La Facultad De Medicina De La Universidad Nacional De Colombia,2017,B
1794-6638,,Ratio Juris,2015,C
0120-0690,2256-2958,Revista Colombiana De Ciencias Pecuarias,2022,B
0121-4470,,Momento,2015,B
0120-9965,2357-3732,Agronomía Colombiana,2021,C
0124-406X,,Rastros Rostros,2015,C
0120-7555,,Turismo Y Sociedad,2014,C
0121-4993,,Revista De Ingeniería,2016,A2
0122-1701,,Scientia Et Technica,2016,C
0121-0807,,Salud Uis,2020,C
2145-6097,,Revista De Investigacion Agraria Ambiental,2017,C
0120-0062,,Ideas Y Valores,2019,B
0122-8420,,Ciencia Y Agricultura,2015,B
0123-2592,,Dialéctica,2009,C
0120-8462,,Cuadernos De Filosofía Latinoamericana,2018,C
2145-9444,,Zona Proxima,2015,B
1900-9895,2500-5324,Latinoamericana De Estudios Educativos,2021,C
0120-4807,,Universitas Humanística,2020,B
0123-921X,2248-7638,Tecnura,2022,B
2027-3029,,Rostros & Rastros,2013,C
1794-631X,,Revista De Investigaciones,2014,C
2248-6046,2011-7663,Finanzas Y Política Económica,2022,C
1657-3986,,Desde El Jardín De Freud,2011,C
2145-6445,,Revista Latinoamericana De Estudios De Familia,2015,B
2382-4018,2382-4018,Collectivus. Revista de Ciencias Sociales,2022,C
0123-3068,2462-8190,Boletín Científico Del Museo De Historia Natural,2021,A2
1900-7841,,Revista Colombiana Salud Libre,2015,C
0120-3347,,Revista Colombiana De Anestesiología,2014,A2
1900-5407,,Antípoda : Revista De Antropología Y Arqueología,2020,A2
0124-177X,,Gestión Y Ambiente,2020,C
,,Ingenierias Usbmed,2020,C
0120-8942,,Dikaion - Lo Justo,2017,C
2145-9444,,Zona Proxima,2016,B
0124-2059,,Investigación En Enfermería :Imagen Y Desarrollo,2019,C
1657-4249,,Uni-Pluriversidad,2019,C
0121-3814,,"Tea Tecné, Episteme Y Didaxis",2020,C
1692-715X,,"Revista Latinoamericana De Ciencias Sociales, Niñez Y Juventud",2015,A2
0124-0064,,Revista De Salud Pública,2016,A1
0120-338X,2256-5469,Forma Y Función,2021,C
1657-7027,2500-6177,Revista Gerencia Y Políticas De Salud,2021,C
1900-6586,2500-7645,"Revista Científica ""General José María Córdova""",2021,B
2322-9381,2322-9675,Trashumante,2021,B
1692-8563,2322-956X,Dimensión Empresarial,2021,B
0486-6525,2539-472X,Revista Colombiana De Antropología,2021,B
0034-7418,,Revista Colombiana De Ciencias Químico Farmacéuticas,2013,A2
0120-548X,,Acta Biológica Colombiana,2012,A2
0120-9965,,Agronomía Colombiana,2008,A2
0120-4688,,Praxis Filosófica,2006,C
0120-8748,,Acta Neurológica Colombiana,2009,C
1692-7257,,Revista Colombiana De Tecnologías De Avanzada,2009,C
1657-6357,,Sociedad Y Economía,2010,B
1657-6357,,Sociedad Y Economía,2014,A2
1692-8156,,International Law : Revista Colombiana De Derecho Internacional,2005,C
0304-3584,,Actualidades Biológicas,2009,A2
0120-0062,,Ideas Y Valores,2011,A2
0041-9095,,Universitas Médica,2007,C
0123-5923,,Estudios Gerenciales,2009,A2
1657-6276,,Pensamiento & Gestión,2007,C
0124-5996,,Revista De Economía Institucional,2012,A2
1657-4249,,Uni-Pluriversidad,2006,C
1657-4583,,Uis Ingenierías,2010,B
0123-9392,,Infectio,2013,A2
0124-7107,,Universidad Y Salud,2010,B
0123-4226,,Revista U.D.C.A. Actualidad & Divulgación Científica,2007,B
0120-386X,,Revista Facultad Nacional De Salud Publica,2005,B
0120-2510,,Boletín De Antropología,2006,C
0124-177X,,Gestión Y Ambiente,2006,C
0120-8845,,Revista Colombiana De Ortopedia Y Traumatología,2015,C
0120-8845,,Revista Colombiana De Ortopedia Y Traumatología,2014,C
0120-8845,,Revista Colombiana De Ortopedia Y Traumatología,2007,C
0122-3461,,Ingeniería & Desarrollo,2007,B
1657-5636,,Epiciclos,2005,C
0121-3814,,"Tea Tecné, Episteme Y Didaxis",2010,B
1794-5887,,Co-Herencia,2008,C
0121-3709,,Orinoquia,2005,C
1692-1399,,Revista De Tecnología,2011,C
0123-9155,,Acta Colombiana De Psicología,2006,A2
0122-5383,,"Ct&F Ciencia, Tecnología Y Futuro",2013,A1
0122-5383,,"Ct&F Ciencia, Tecnología Y Futuro",2012,A1
1794-5887,,Co-Herencia,2013,A2
1657-9550,,Biosalud,2013,A2
0123-9015,,Revista Colombiana De Cancerología,2014,C
0124-8693,,Tendencias,2009,C
0122-7610,,Temas Agrarios,2012,C
0120-2804,,Revista Colombiana De Química,2013,A2
0120-0976,,Revista Interamericana De Bibliotecología,2016,A2
1794-1237,,Revista Eia,2010,A2
0123-4226,,Revista U.D.C.A. Actualidad & Divulgación Científica,2014,A2
0124-2121,,Educacion Y Humanismo,2012,C
0123-4072,,Lumina,2009,C
1692-715X,,"Revista Latinoamericana De Ciencias Sociales, Niñez Y Juventud",2010,B
